OrderID,CustomerID,EmployeeID,OrderDate,ShipmentID
1001,2,101,2023-05-01,301
1002,20,102,2023-05-02,302
1003,3,103,2023-05-03,303
1004,24,104,2023-05-04,304
1005,2,105,2023-05-05,305
1006,6,106,2023-05-06,306
1007,7,107,2023-05-07,307
1008,23,108,2023-05-08,308
1009,11,109,2023-05-09,309
1010,1,110,2023-05-10,310
1011,1,111,2023-05-11,311
1012,12,112,2023-05-12,312
1013,13,113,2023-05-13,313
1014,4,114,2023-05-14,314
1015,5,115,2023-05-15,315
1016,16,101,2023-05-16,316
1017,27,102,2023-05-17,317
1018,28,103,2023-05-18,318
1019,9,104,2023-05-19,319
1020,30,105,2023-05-20,320
1021,11,106,2023-05-21,321
1022,22,107,2023-05-22,322
1023,3,108,2023-05-23,323
1024,7,109,2023-05-24,324
1025,28,110,2023-05-25,325
1026,18,111,2023-05-26,326
1027,19,112,2023-05-27,327
1028,12,113,2023-05-28,328
1029,13,114,2023-05-29,329
1030,28,115,2023-05-30,330
