ProductID,ProductName,SupplierID,CategoryID,Unit,Price
301,"Widget A",401,501,"10 pieces",10.99
302,"Gadget B",402,502,"1 piece",19.99
303,"Tool C",403,503,"1 piece",15.99
304,"Device D",404,504,"1 piece",49.99
305,"Accessory E",405,505,"1 piece",5.99
306,"Widget F",406,506,"10 pieces",12.99
307,"Gadget G",407,507,"1 piece",22.99
308,"Tool H",408,508,"1 piece",17.99
309,"Device I",409,509,"1 piece",59.99
310,"Accessory J",410,510,"1 piece",7.99
311,"Widget K",411,511,"10 pieces",14.99
312,"Gadget L",412,512,"1 piece",24.99
313,"Tool M",413,513,"1 piece",19.99
314,"Device N",414,514,"1 piece",69.99
315,"Accessory O",415,515,"1 piece",9.99
316,"Widget P",416,516,"10 pieces",16.99
317,"Gadget Q",417,517,"1 piece",29.99
318,"Tool R",418,518,"1 piece",21.99
319,"Device S",419,519,"1 piece",79.99
320,"Accessory T",420,520,"1 piece",12.99
321,"Widget U",421,521,"10 pieces",18.99
322,"Gadget V",422,522,"1 piece",34.99
323,"Tool W",423,523,"1 piece",25.99
324,"Device X",424,524,"1 piece",89.99
325,"Accessory Y",425,525,"1 piece",14.99
326,"Widget Z",426,526,"10 pieces",21.99
327,"Gadget AA",427,527,"1 piece",39.99
328,"Tool BB",428,528,"1 piece",27.99
329,"Device CC",429,529,"1 piece",99.99
330,"Accessory DD",430,530,"1 piece",16.99
